,V,TSLA,VIS,AAPL,ABEV,CF,AIG,AMAT,AMD,AR,ATVI,AUY,AZN,BA,BAC,HF,HFC,BMY,C,CELG,CHTR,CLF,JAZZ,COP,COST,COTY,CTL,CVS,CX,CZR,DHI,EA,ELLI,EMR,ET,F,FB,FCX,FDX,FOXA,GE,GG,GGB,GOLD,GOOG,GRPN,HAL,HBAN,IBM,IBN,INFY,INTC,ITUB,JNJ,JPM,KGC,KMI,KO,LLY,MDLZ,MGM,LVS,MRVL,MS,MSFT,NFLX,NKE,NLY,NOK,NTAP,NVDA,ORCL,PBR-A,PFE,QCOM,RF,RIG,RTN,S,SBUX,SIRI,SIX,SLB,SO,SPG,SR,SWN,T,TEVA,TGT,TSM,TWTR,TXN,VZ,WFC,WMB,XOM,YELP,VLO
HF,0.0001017308283684087,0.00010026049328529472,9.962076441924634e-05,8.469678613161262e-05,7.338079616325405e-05,0.0001053527393303063,9.738868203813877e-05,0.00013817527772742036,0.0001768313639648666,9.606669426487084e-05,0.00010786679291424883,1.8809419031497844e-05,6.362975902046083e-05,9.940111405388277e-05,0.0001405875431842551,0.0004642998756351559,0.00013274582193770649,8.049448445221984e-05,0.00013069723665529623,0.000108920747646264,9.022144084437708e-05,0.00016183857545967506,0.00012868016663926241,0.00010776411802777623,5.473796071494848e-05,7.475020603732189e-05,6.669502885100321e-05,5.4621442954092227e-05,0.00016273033264591435,0.0001671909693251005,0.00012167290446206192,9.081340308094033e-05,0.000134276326310045,9.803014151145371e-05,0.00019940905452703236,9.763764496677472e-05,9.941802222434455e-05,0.00023419731320699987,0.0001067441725068218,7.743339159983612e-05,8.042001219569032e-05,2.0939677172764248e-05,0.0001754661187840393,-4.863785755474933e-05,8.610927049965365e-05,0.0001745177285990176,0.00010625120066432043,0.0001225809556880796,8.510898118256945e-05,9.906431458455526e-05,6.629214069516748e-05,9.32161813619955e-05,0.0001161802715359518,5.437904765691286e-05,0.00011275218444326251,1.765498342007701e-05,0.00010744655865067272,3.860852084221402e-05,5.6481863888973415e-05,6.6079912526051e-05,0.0001316222437256029,0.0001215162328439392,0.00011733801989680104,0.00014671070226340098,9.153627451271127e-05,0.00011440091690948638,8.803041399573999e-05,2.5524059491412022e-05,9.260596214450404e-05,0.00011447225037030053,0.00013793309308830334,8.519195687658437e-05,0.00015056751214946967,6.719879795708702e-05,9.233202179239166e-05,0.0001447066571005628,0.0001400718429793366,7.832623228505836e-05,0.00010741554952860245,6.670772637380809e-05,7.012614881220651e-05,6.0300422113910105e-05,7.827081226509193e-05,9.048201760869905e-06,5.418356641437584e-05,4.014249308161757e-05,0.00011088208136855233,4.57306636049611e-05,0.00010039390885841587,6.410028340815443e-05,7.59672009135214e-05,0.00011506814721387206,0.00010545858097825953,3.9225412629380274e-05,0.0001005124160506536,0.00017234571613370674,6.482418982323218e-05,0.00015406295017515796,0.00010805693994853728
HFC,9.520634061445625e-05,0.00012029608502817893,9.236500548053209e-05,0.00010008990272876793,6.664532709642084e-05,0.00016471667010002912,9.017684126310144e-05,0.00011177504315352098,0.00014401907545566922,0.00016525427577154925,0.00010974076480513586,9.768352401135463e-05,6.959442575888592e-05,9.955356486906877e-05,0.00013201313038021959,0.00013274582193770649,0.000536941809420172,6.024827054070706e-05,0.0001299044827208809,0.00010814306969046391,7.873298480444224e-05,0.00022528323473874415,0.00010617530698457474,0.00017744662908131018,5.356551850796422e-05,7.526639526027497e-05,7.94730183796362e-05,6.26192017934495e-05,0.00013542700409809594,0.00013545363380103981,0.00011742421172085934,7.582870526336502e-05,9.315772299182911e-05,0.00010350863826041368,0.0002621006795427305,9.905498297388472e-05,9.795578271206468e-05,0.000228969107897276,9.343070293047635e-05,7.240843719483975e-05,7.26058760845682e-05,6.640569806746887e-05,0.00018820232595506358,-0.00010701156705743959,9.806219812628672e-05,0.0001602596261689228,0.00015499667380662187,0.00010878203637116274,7.233648060809413e-05,9.492518873581703e-05,5.002889375140427e-05,9.418315622685857e-05,0.00010324730524885101,4.365498907420609e-05,0.0001114438803820142,6.579231784995034e-05,0.0001526693241070485,2.8564417454550867e-05,7.062795232378579e-05,6.127923160149782e-05,0.00013588400667924704,0.00011100580268345701,0.00010518631017369243,0.00013669118696301648,0.00011262389322459338,0.00013842231921405766,7.49147265343415e-05,3.0081288814103623e-05,9.694863140061573e-05,0.00011897379526636692,0.00012321429131382592,8.019939581245818e-05,0.0001844003195561379,6.627258579682484e-05,0.00010137981882420887,0.00012182353743228341,0.00021883160094697163,6.525144213206448e-05,0.00014213932297967358,6.735157881893503e-05,7.859696516642853e-05,5.7140149043888896e-05,0.00011988103579851464,6.402424812038011e-06,4.292069579672675e-05,2.2294334374058732e-05,0.00021960244312465175,3.818326325984574e-05,0.00010223334105989358,6.49493678041723e-05,7.733827770150427e-05,0.00012816348469983448,0.00010105990977089859,2.9410159285381835e-05,9.679489942152373e-05,0.00022397287275022557,9.945313595117986e-05,0.00013276417567223048,0.0003120035899498767
BMY,7.588006935587326e-05,7.490907378420383e-05,5.907801606662808e-05,6.944935585775908e-05,4.612776515458837e-05,5.445436115922305e-05,5.5320372762125473e-05,8.026029650328558e-05,8.408484028609997e-05,5.554954437969015e-05,6.97163920653706e-05,-4.59977093061492e-06,7.314103038036308e-05,7.123355820551506e-05,7.010415864638073e-05,8.049448445221984e-05,6.024827054070706e-05,0.00027085613324676945,7.515650288524234e-05,0.0001217674295181323,5.842824208764847e-05,8.342633000671218e-05,0.00011119807122479275,5.860052658991132e-05,4.323406674210425e-05,4.87249614065104e-05,5.239913354120877e-05,5.631870735394108e-05,6.939887487401365e-05,8.15852760351166e-05,5.681742265312921e-05,6.464023690977472e-05,6.657940460436942e-05,5.556110692756746e-05,6.551855274773138e-05,5.887367005887621e-05,7.390965051174335e-05,9.72897424065574e-05,6.201981290879726e-05,4.5856267592056365e-05,5.060810481835009e-05,6.8737251464452965e-06,7.391865362950265e-05,-3.833572281800195e-05,6.116014518896569e-05,5.473087662797538e-05,4.8678730287762124e-05,6.213689557253367e-05,4.827102130528498e-05,6.877380676343964e-05,4.173371643906747e-05,6.710299428411547e-05,7.240594759418478e-05,6.455138750426324e-05,6.743227081320048e-05,1.2756797682089118e-05,5.105110360403882e-05,3.1688761954469916e-05,9.419447177691093e-05,4.061484926024569e-05,8.226299623044342e-05,7.10761542122753e-05,6.091711989299518e-05,8.020591197967031e-05,6.632417116229566e-05,8.68405635382765e-05,5.506032785434463e-05,1.654866551310322e-05,7.342669651617504e-05,5.698841776093667e-05,8.171376683296295e-05,5.992134032861994e-05,6.285764618648404e-05,7.930269936779868e-05,6.70784616333396e-05,6.77982072296958e-05,3.783181518489275e-05,5.9200311018983424e-05,6.857545363707934e-05,4.964962917476815e-05,4.489137885671406e-05,5.1654717148314044e-05,4.653354204366928e-05,1.2441710538954163e-05,3.451052236079144e-05,2.919458948952968e-05,6.955277568142395e-05,3.3373340031179226e-05,8.785081321275088e-05,4.1005895082808014e-05,4.7514220014527816e-05,8.141962042787181e-05,7.002963732711932e-05,3.1831889089703384e-05,5.816267793014919e-05,7.286410457593609e-05,4.4687855009397275e-05,6.359462118104181e-05,6.5525374875053e-05
C,0.00010784876885279652,0.00010246257718792385,0.00010051687811871819,9.675504009852094e-05,8.348385926340481e-05,0.00012786941937159468,0.00012473172564376,0.00012580589426470544,0.00015951834055618976,0.00010568635992567393,8.966219377036298e-05,-2.7668889783365365e-05,6.145092711009296e-05,0.00011230857599904516,0.00021185607948290063,0.00013069723665529623,0.0001299044827208809,7.515650288524234e-05,0.00023222146194836336,0.00011209537075707127,9.035681355133546e-05,0.00016624154215135178,0.00011581070904332364,0.00013025311793262587,5.710079643355831e-05,6.977547445425921e-05,9.295601709272023e-05,6.993249387957236e-05,0.00016377555941119712,0.00013293950752053132,0.00010841361229710353,7.553044436633923e-05,9.94628566187651e-05,0.00010782093053923004,0.00017180764277051528,0.00011766652090036556,9.77221965364987e-05,0.00021277083232837138,0.00011448914007598049,8.421466639554814e-05,0.00010203152014029608,-2.5006566543804963e-05,0.00017872140405364846,-0.0001907791940743247,9.892429989075001e-05,0.0001429771030285718,0.00012575412544029257,0.00017219249126395337,9.110707236156025e-05,0.0001262355947393214,7.781115269197772e-05,0.00010409026030104576,0.00012962339512785325,5.6929386343463206e-05,0.00017327848720331978,-4.004553455110487e-05,0.0001094865745283427,3.411005135222589e-05,6.464319621229496e-05,7.053926144191104e-05,0.0001466210366741714,0.0001197576643175605,0.0001116109673602566,0.00021029492840922456,0.00010692078355174253,0.00014184379515181774,8.779330647493124e-05,1.277786084747322e-05,0.00010235858023536775,0.0001160148967335606,0.00012774755166702502,9.4636959625239e-05,0.00018677343678849805,7.090261823655659e-05,9.896457181593058e-05,0.00020145685736654528,0.00018590545943478586,6.100732088331691e-05,0.00013074639916928752,7.333852917208963e-05,8.451110345400637e-05,7.191176896456083e-05,0.00010171647770483501,-4.583429562918647e-06,3.7990229809649657e-05,1.3990647983506086e-05,0.00015815476424843654,5.170956581369282e-05,0.0001065878259455586,6.661202860474735e-05,8.110532112558403e-05,0.0001108111515112164,0.00010762208844452791,4.407365475125648e-05,0.000145587939522795,0.00015769090462532172,8.523180218220189e-05,0.0001280524397520604,0.00010926581158982297
CELG,9.403231919223952e-05,0.00011860947523146131,8.063111106022149e-05,8.35555074192351e-05,8.659577933534876e-05,9.61034774391412e-05,8.332100575522178e-05,0.00011893461543461871,0.00012724992384646587,9.93474116483191e-05,8.354617074958666e-05,4.673308180487661e-05,0.00010890712954230996,8.486080584427645e-05,0.00010886353659696195,0.000108920747646264,0.00010814306969046391,0.0001217674295181323,0.00011209537075707127,0.0004067428863226119,0.0001082465960263531,0.00011209404638368265,0.0002041509252093475,8.766925737529582e-05,5.3327150576445883e-05,7.339133361208082e-05,8.220417509085973e-05,8.713679603405957e-05,0.00012812777234481895,0.00013943284620651923,0.00010391388762708573,9.046208783232749e-05,0.00011743916008505942,7.902943534211407e-05,0.00014682153242261817,7.962926696671862e-05,0.00011757610504091149,0.00017133597575396352,8.342931119903936e-05,8.142670715419592e-05,8.77797652419137e-05,3.242649868006553e-05,0.00013378220945008544,-0.00012039792100348106,0.00010695631596861359,0.00015022830544362935,9.684727639654275e-05,9.441360235529174e-05,7.023658323633103e-05,0.00010727057899396614,5.950259795001167e-05,8.919012742115287e-05,9.854425813684e-05,8.118912690900907e-05,9.85499504057418e-05,4.4520438241436535e-05,9.12192164054844e-05,3.166894384815512e-05,0.00010617707849443283,6.428825501626347e-05,0.00013551758448760362,0.00010140309732330091,0.00010045851069003063,0.00012290984547872914,9.771498843128274e-05,0.0001553559986078392,7.771772297472929e-05,2.8629977873339703e-05,0.00011301497020878801,9.094758309010961e-05,0.00011814916998781396,8.290101723944305e-05,0.00010140722838106706,9.359433939354465e-05,0.00010729776831979085,0.00010643390148216552,0.00010585384067545857,7.065498137953489e-05,0.00012789363667796612,7.299605169537853e-05,7.754312640609395e-05,7.030315181417588e-05,7.412979962738702e-05,1.670952919539266e-05,4.991211661197536e-05,3.0854134235307595e-05,0.00010990985458041326,5.130708464038871e-05,0.00014960058661532164,5.0742601349205264e-05,7.027773547947774e-05,0.00010479902450053101,9.47899033142949e-05,4.316861169296611e-05,8.591711933771165e-05,0.0001471372265781225,6.705696945463933e-05,0.00013704396868677174,0.00011053249720829743
CHTR,8.261819865963303e-05,9.302913367983458e-05,6.62982441055561e-05,7.908847513075909e-05,5.252060351432286e-05,7.748681124192273e-05,6.997830598130982e-05,8.893646302901319e-05,9.832242120250519e-05,7.700534372262705e-05,7.930313059727587e-05,7.250354264151419e-07,6.219390451442394e-05,6.827102558905141e-05,7.755369630618782e-05,9.022144084437708e-05,7.873298480444224e-05,5.842824208764847e-05,9.035681355133546e-05,0.0001082465960263531,0.0003193289991173495,8.196577376487335e-05,8.666862527575895e-05,7.831598234535462e-05,5.342046055245419e-05,6.939518839866748e-05,8.26059247447985e-05,5.95977879944722e-05,0.00010546115111559137,0.00010719187852828746,9.23527882028845e-05,7.71018698889041e-05,9.882867127923382e-05,5.637617509024001e-05,0.0001233868398356503,7.385819720059062e-05,9.816885308199525e-05,0.00010868463925070886,7.25171344020231e-05,7.200607508895423e-05,6.423632621066953e-05,-7.76942103798676e-06,8.997375550146991e-05,-0.00021995088230510572,8.062841453272203e-05,0.0001084508515200308,7.066067787489493e-05,7.079167711837719e-05,5.090863211990188e-05,6.756574733030957e-05,5.827495401390789e-05,7.490473631777426e-05,7.765214466549682e-05,4.7773640571939084e-05,7.838613266915045e-05,-5.658115723928205e-06,7.806179610819252e-05,3.187148253731001e-05,5.7608624831073954e-05,7.153325458395602e-05,0.00011374434942091042,8.60539691557654e-05,8.69940255328914e-05,9.687550453051857e-05,8.316523576506835e-05,0.00011349139323663244,6.80915483226342e-05,3.054735507811404e-05,8.747856293664121e-05,7.553317955159092e-05,9.99776736310585e-05,6.794274618924388e-05,0.00010414151655833122,6.361977491181228e-05,6.569647835483287e-05,8.076599291039043e-05,7.730492941793911e-05,4.4018185387427514e-05,9.824589695286225e-05,7.151196174437259e-05,8.488840962853597e-05,5.757160001387029e-05,5.563976782091507e-05,1.545696962000009e-05,3.588098998998641e-05,3.10636325875165e-05,8.621306286811109e-05,5.8894513344044616e-05,8.75008858937546e-05,4.576279882790245e-05,7.245687827489937e-05,6.585904827301436e-05,7.176870523803645e-05,4.2137905440289504e-05,7.156231893751923e-05,0.00011450669456745957,6.0294151904025446e-05,0.00010900897114618979,8.549671153095205e-05
