,0
0,1.572968421929449e-08
1,-4.752124951813722e-05
2,-1.3117997085987672e-05
3,0.0002571458150525722
4,-0.0030462463090558623
5,-0.0002702543049947697
6,-0.0005616589281540435
7,2.588327533250336e-05
8,0.1566531335108469
9,-0.05144857095011569
10,0.0021318985741816546
11,-0.0004610032689374975
12,-2.64048571074027e-05
13,1.080588553395371e-05
14,0.00031038042351979006
15,3.2474579435508e-06
16,-0.003517732807125877
17,0.030315847670690246
18,0.012931507130752803
19,0.4898499271719946
20,1.3706100769059646e-06
21,0.005208957690617815
22,0.27922964891370505
23,0.0189112018429699
24,0.0543007743454051
25,0.009250764623789464
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
